ProteinID	Gene
CLD15+AF8-HUMAN	CLDN15
CLD16+AF8-HUMAN	CLDN16
CLD18+AF8-HUMAN	CLDN18
CLD19+AF8-HUMAN	CLDN19
CLD1+AF8-HUMAN	CLDN1
CLD20+AF8-HUMAN	CLDN20
CLD22+AF8-HUMAN	CLDN22
CLD24+AF8-HUMAN	CLDN24
CLD2+AF8-HUMAN	CLDN2
CLD3+AF8-HUMAN	CLDN3
CLD4+AF8-HUMAN	CLDN4
CLD6+AF8-HUMAN	CLDN6
CLD7+AF8-HUMAN	CLDN7
CLD8+AF8-HUMAN	CLDN8
CLD9+AF8-HUMAN	CLDN9
CLDN1+AF8-HUMAN	CLDND1
CLM1+AF8-HUMAN	CD300LF
CLM2+AF8-HUMAN	CD300E
CLM6+AF8-HUMAN	CD300C
CLM8+AF8-HUMAN	CD300A
CLM9+AF8-HUMAN	CD300LG
CLMP+AF8-HUMAN	CLMP
CLN3+AF8-HUMAN	CLN3
CLRN1+AF8-HUMAN	CLRN1
CLRN2+AF8-HUMAN	CLRN2
CLTR1+AF8-HUMAN	CYSLTR1
CLTR2+AF8-HUMAN	CYSLTR2
CML1+AF8-HUMAN	CMKLR1
CN132+AF8-HUMAN	C14orf132
CNNM2+AF8-HUMAN	CNNM2
CNNM3+AF8-HUMAN	CNNM3
CNNM4+AF8-HUMAN	CNNM4
CNR1+AF8-HUMAN	CNR1
CNR2+AF8-HUMAN	CNR2
CNT3B+AF8-HUMAN	CNTNAP3B
CNTFR+AF8-HUMAN	CNTFR
CNTN1+AF8-HUMAN	CNTN1
CNTN2+AF8-HUMAN	CNTN2
CNTN3+AF8-HUMAN	CNTN3
CNTN4+AF8-HUMAN	CNTN4
CNTN5+AF8-HUMAN	CNTN5
CNTN6+AF8-HUMAN	CNTN6
CNTP1+AF8-HUMAN	CNTNAP1
CNTP2+AF8-HUMAN	CNTNAP2
CNTP3+AF8-HUMAN	CNTNAP3
CNTP4+AF8-HUMAN	CNTNAP4
CNTP5+AF8-HUMAN	CNTNAP5
COPT1+AF8-HUMAN	SLC31A1
CORIN+AF8-HUMAN	CORIN
CR1+AF8-HUMAN	CR1
CR2+AF8-HUMAN	CR2
CRFR1+AF8-HUMAN	CRHR1
CRFR2+AF8-HUMAN	CRHR2
CRIM1+AF8-HUMAN	CRIM1
CRLF2+AF8-HUMAN	CRLF2
CRTAM+AF8-HUMAN	CRTAM
CRUM1+AF8-HUMAN	CRB1
CRUM2+AF8-HUMAN	CRB2
CRUM3+AF8-HUMAN	CRB3
CS018+AF8-HUMAN	C19orf18
CSC1+AF8-HUMAN	TMEM63C
CSCL1+AF8-HUMAN	TMEM63A
CSCL2+AF8-HUMAN	TMEM63B
CSF1R+AF8-HUMAN	CSF1R
CSF1+AF8-HUMAN	CSF1
CSF2R+AF8-HUMAN	CSF2RA
CSF3R+AF8-HUMAN	CSF3R
CSMD1+AF8-HUMAN	CSMD1
CSMD2+AF8-HUMAN	CSMD2
CSPG4+AF8-HUMAN	CSPG4
CSPG5+AF8-HUMAN	CSPG5
CSTN1+AF8-HUMAN	CLSTN1
CSTN2+AF8-HUMAN	CLSTN2
CSTN3+AF8-HUMAN	CLSTN3
CTL1+AF8-HUMAN	SLC44A1
CTL2+AF8-HUMAN	SLC44A2
CTL3+AF8-HUMAN	SLC44A3
CTL4+AF8-HUMAN	SLC44A4
CTL5+AF8-HUMAN	SLC44A5
CTLA4+AF8-HUMAN	CTLA4
CTNS+AF8-HUMAN	CTNS
CTR1+AF8-HUMAN	SLC7A1
CTR2+AF8-HUMAN	SLC7A2
CTR3+AF8-HUMAN	SLC7A3
CTR4+AF8-HUMAN	SLC7A4
CTSRD+AF8-HUMAN	CATSPERD
CTSRG+AF8-HUMAN	CATSPERG
CUZD1+AF8-HUMAN	CUZD1
CX3C1+AF8-HUMAN	CX3CR1
CXA1+AF8-HUMAN	GJA1
CXA3+AF8-HUMAN	GJA3
CXA4+AF8-HUMAN	GJA4
CXAR+AF8-HUMAN	CXADR
CXB1+AF8-HUMAN	GJB1
CXB2+AF8-HUMAN	GJB2
CXB3+AF8-HUMAN	GJB3
CXB4+AF8-HUMAN	GJB4
CXB5+AF8-HUMAN	GJB5
CXB6+AF8-HUMAN	GJB6
CXB7+AF8-HUMAN	GJB7
CXCR1+AF8-HUMAN	CXCR1
CXCR2+AF8-HUMAN	CXCR2
CXCR3+AF8-HUMAN	CXCR3
CXCR4+AF8-HUMAN	CXCR4
CXCR5+AF8-HUMAN	CXCR5
CXCR6+AF8-HUMAN	CXCR6
CXD2+AF8-HUMAN	GJD2
CXG2+AF8-HUMAN	GJC2
CXG3+AF8-HUMAN	GJC3
CXL16+AF8-HUMAN	CXCL16
CY24B+AF8-HUMAN	CYBB
DAF+AF8-HUMAN	CD55
DAG1+AF8-HUMAN	DAG1
DCBD1+AF8-HUMAN	DCBLD1
DCBD2+AF8-HUMAN	DCBLD2
DCC+AF8-HUMAN	DCC
DCSTP+AF8-HUMAN	DCSTAMP
DDR1+AF8-HUMAN	DDR1
DDR2+AF8-HUMAN	DDR2
DGLA+AF8-HUMAN	DAGLA
DGLB+AF8-HUMAN	DAGLB
DIRC2+AF8-HUMAN	SLC49A4
DISP1+AF8-HUMAN	DISP1
DISP2+AF8-HUMAN	DISP2
DLK1+AF8-HUMAN	DLK1
DLK2+AF8-HUMAN	DLK2
DLL1+AF8-HUMAN	DLL1
DLL3+AF8-HUMAN	DLL3
DLL4+AF8-HUMAN	DLL4
DMA+AF8-HUMAN	HLA+AC0-DMA
DMB+AF8-HUMAN	HLA+AC0-DMB
DNER+AF8-HUMAN	DNER
DOA+AF8-HUMAN	HLA+AC0-DOA
DOB+AF8-HUMAN	HLA+AC0-DOB
DOXA1+AF8-HUMAN	DUOXA1
DPA1+AF8-HUMAN	HLA+AC0-DPA1
DPB1+AF8-HUMAN	HLA+AC0-DPB1
DPEP1+AF8-HUMAN	DPEP1
DPEP2+AF8-HUMAN	DPEP2
DPEP3+AF8-HUMAN	DPEP3
DPP10+AF8-HUMAN	DPP10
DPP4+AF8-HUMAN	DPP4
DPP6+AF8-HUMAN	DPP6
DQA1+AF8-HUMAN	HLA+AC0-DQA1
DQA2+AF8-HUMAN	HLA+AC0-DQA2
DQB1+AF8-HUMAN	HLA+AC0-DQB1
DQB2+AF8-HUMAN	HLA+AC0-DQB2
DRA+AF8-HUMAN	HLA+AC0-DRA
DRB3+AF8-HUMAN	HLA+AC0-DRB3
DRB4+AF8-HUMAN	HLA+AC0-DRB4
DRB5+AF8-HUMAN	HLA+AC0-DRB5
DRD1+AF8-HUMAN	DRD1
DRD2+AF8-HUMAN	DRD2
DRD3+AF8-HUMAN	DRD3
DRD4+AF8-HUMAN	DRD4
DRD5+AF8-HUMAN	DRD5
DSC1+AF8-HUMAN	DSC1
DSC2+AF8-HUMAN	DSC2
DSC3+AF8-HUMAN	DSC3
DSCAM+AF8-HUMAN	DSCAM
DSCL1+AF8-HUMAN	DSCAML1
DSG1+AF8-HUMAN	DSG1
DSG2+AF8-HUMAN	DSG2
DSG3+AF8-HUMAN	DSG3
DSG4+AF8-HUMAN	DSG4
DUOX1+AF8-HUMAN	DUOX1
DUOX2+AF8-HUMAN	DUOX2
DYNAP+AF8-HUMAN	DYNAP
EAA1+AF8-HUMAN	SLC1A3
EAA2+AF8-HUMAN	SLC1A2
EAA3+AF8-HUMAN	SLC1A1
EAA4+AF8-HUMAN	SLC1A6
EAA5+AF8-HUMAN	SLC1A7
EBP+AF8-HUMAN	EBP
ECE1+AF8-HUMAN	ECE1
ECSCR+AF8-HUMAN	ECSCR
EDAR+AF8-HUMAN	EDAR
EDA+AF8-HUMAN	EDA
EDNRA+AF8-HUMAN	EDNRA
EDNRB+AF8-HUMAN	EDNRB
EFC1+AF8-HUMAN	ERVFC1
EFNA1+AF8-HUMAN	EFNA1
EFNA2+AF8-HUMAN	EFNA2
EFNA3+AF8-HUMAN	EFNA3
EFNA4+AF8-HUMAN	EFNA4
EFNA5+AF8-HUMAN	EFNA5
EFNB1+AF8-HUMAN	EFNB1
EFNB2+AF8-HUMAN	EFNB2
EFNB3+AF8-HUMAN	EFNB3
EGFR+AF8-HUMAN	EGFR
EGF+AF8-HUMAN	EGF
EGLN+AF8-HUMAN	ENG
ELFN1+AF8-HUMAN	ELFN1
EMB+AF8-HUMAN	EMB
EMP1+AF8-HUMAN	EMP1
EMP2+AF8-HUMAN	EMP2
EMP3+AF8-HUMAN	EMP3
EN113+AF8-HUMAN	HERVK+AF8-113
ENK13+AF8-HUMAN	ERVK13+AC0-1
ENK18+AF8-HUMAN	ERVK+AC0-18
ENK19+AF8-HUMAN	ERVK+AC0-19
ENK21+AF8-HUMAN	ERVK+AC0-21
ENK24+AF8-HUMAN	ERVK+AC0-24
ENK25+AF8-HUMAN	ERVK+AC0-25
ENK6+AF8-HUMAN	ERVK+AC0-6
ENK7+AF8-HUMAN	ERVK+AC0-7
ENK8+AF8-HUMAN	ERVK+AC0-8
ENK9+AF8-HUMAN	ERVK+AC0-9
ENPP1+AF8-HUMAN	ENPP1
ENPP4+AF8-HUMAN	ENPP4
ENPP5+AF8-HUMAN	ENPP5
ENPP6+AF8-HUMAN	ENPP6
ENTK+AF8-HUMAN	TMPRSS15
ENTP1+AF8-HUMAN	ENTPD1
ENTP3+AF8-HUMAN	ENTPD3
ENVT1+AF8-HUMAN	ERVS71+AC0-1
EPCAM+AF8-HUMAN	EPCAM
EPCR+AF8-HUMAN	PROCR
EPGN+AF8-HUMAN	EPGN
EPHA1+AF8-HUMAN	EPHA1
EPHA2+AF8-HUMAN	EPHA2
EPHA3+AF8-HUMAN	EPHA3
EPHA4+AF8-HUMAN	EPHA4
EPHA5+AF8-HUMAN	EPHA5
EPHA6+AF8-HUMAN	EPHA6
EPHA7+AF8-HUMAN	EPHA7
EPHA8+AF8-HUMAN	EPHA8
EPHAA+AF8-HUMAN	EPHA10
EPHB1+AF8-HUMAN	EPHB1
EPHB2+AF8-HUMAN	EPHB2
EPHB3+AF8-HUMAN	EPHB3
EPHB4+AF8-HUMAN	EPHB4
EPHB6+AF8-HUMAN	EPHB6
EPOR+AF8-HUMAN	EPOR
EQTN+AF8-HUMAN	EQTN
ERB1+AF8-HUMAN	ERVPABLB+AC0-1
ERBB2+AF8-HUMAN	ERBB2
ERBB3+AF8-HUMAN	ERBB3
ERBB4+AF8-HUMAN	ERBB4
EREG+AF8-HUMAN	EREG
ERMAP+AF8-HUMAN	ERMAP
ERMP1+AF8-HUMAN	ERMP1
ERVV1+AF8-HUMAN	ERVV+AC0-1
ERVV2+AF8-HUMAN	ERVV+AC0-2
ESAM+AF8-HUMAN	ESAM
ESYT3+AF8-HUMAN	ESYT3
EVA1C+AF8-HUMAN	EVA1C
EVI2A+AF8-HUMAN	EVI2A
EVI2B+AF8-HUMAN	EVI2B
F1711+AF8-HUMAN	FAM171A1
F1712+AF8-HUMAN	FAM171A2
F171B+AF8-HUMAN	FAM171B
F174A+AF8-HUMAN	FAM174A
F174B+AF8-HUMAN	FAM174B
F187B+AF8-HUMAN	FAM187B
FAT1+AF8-HUMAN	FAT1
FAT2+AF8-HUMAN	FAT2
FAT3+AF8-HUMAN	FAT3
FAT4+AF8-HUMAN	FAT4
FCAMR+AF8-HUMAN	FCAMR
FCAR+AF8-HUMAN	FCAR
FCERA+AF8-HUMAN	FCER1A
FCG2A+AF8-HUMAN	FCGR2A
FCG2B+AF8-HUMAN	FCGR2B
FCG2C+AF8-HUMAN	FCGR2C
FCG3A+AF8-HUMAN	FCGR3A
FCG3B+AF8-HUMAN	FCGR3B
FCGR1+AF8-HUMAN	FCGR1A
FCGRB+AF8-HUMAN	FCGR1BP
